"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72635094860","2015-01-01","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  23.6","24","  15.5","24","1015.9","22","985.4","24","  8.5","24"," 19.3","24"," 22.9"," 35.0","  28.0"," ","  14.0"," "," 0.01","G","  2.0","001000"
"72635094860","2015-01-02","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  28.5","24","  18.9","24","1022.7","23","991.8","24","  9.8","24","  8.5","24"," 17.1"," 24.1","  32.0"," ","  21.0"," "," 0.02","G","  1.2","001000"
"72635094860","2015-01-03","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  27.9","24","  24.2","24","1021.7","17","989.3","24","  5.5","24","  6.1","24"," 12.0","999.9","  33.8","*","  21.9","*"," 0.01","G","  1.2","011000"
"72635094860","2015-01-04","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  30.1","24","  27.3","24","1010.0","14","979.4","24","  3.0","24","  7.2","24"," 17.1"," 25.1","  33.8","*","  19.0","*"," 0.51","G","  2.0","111000"
"72635094860","2015-01-05","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   9.6","24","   3.3","24","1030.3","16","998.8","24","  3.3","24"," 12.8","24"," 21.0"," 28.9","  33.1"," ","   5.0"," "," 0.17","G","  2.0","001000"
"72635094860","2015-01-06","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   9.6","24","   4.6","24","1026.9","15","995.1","24","  3.2","24","  9.3","24"," 20.0"," 24.1","  17.1"," ","   5.0"," "," 0.11","G","  5.1","101000"
"72635094860","2015-01-07","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   9.6","24","   0.9","24","1030.9","17","996.6","24","  6.4","24"," 14.8","24"," 20.0"," 29.9","  17.1"," ","   5.0"," "," 0.04","G","  3.9","001000"
"72635094860","2015-01-08","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   5.2","24","  -0.5","24","1030.4","17","996.5","24","  4.5","24"," 13.1","24"," 22.0"," 31.1","  14.0"," ","   0.0"," "," 0.02","G","  5.1","001000"
"72635094860","2015-01-09","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  11.2","24","   5.8","24","1017.3","15","984.0","24","  1.4","24"," 15.8","24"," 22.9"," 34.0","  17.1"," ","   0.0"," "," 0.17","G","  9.8","101000"
"72635094860","2015-01-10","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   9.7","24","   4.1","24","1027.6","15","996.2","24","  3.4","24"," 11.7","24"," 18.1"," 25.1","  17.1"," ","   6.1"," "," 0.05","G","  9.8","101000"
"72635094860","2015-01-11","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  21.5","24","  11.2","24","1026.0","24","995.2","24"," 10.0","24","  9.7","24"," 13.0","999.9","  30.0"," ","   8.1"," "," 0.00","A","  7.9","000000"
"72635094860","2015-01-12","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  25.3","24","  17.6","24","1028.6","20","997.0","24","  8.1","24","  8.7","24"," 15.0"," 19.0","  30.0"," ","  16.0"," "," 0.03","G","  5.9","001000"
"72635094860","2015-01-13","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   7.1","24","  -0.7","24","1040.6","24","009.1","24"," 10.0","24","  7.5","24"," 13.0"," 19.0","  28.0"," ","  -5.1"," "," 0.00","G","  5.9","000000"
"72635094860","2015-01-14","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   4.1","24","  -0.9","24","1030.7","23","999.0","24","  7.8","24","  4.3","24","  9.9","999.9","  19.9"," "," -13.0"," "," 0.00","G","  5.9","001000"
"72635094860","2015-01-15","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  20.0","24","  14.4","24","1018.3","17","988.8","24","  7.1","24"," 10.3","24"," 17.1","999.9","  30.2","*","  14.0","*"," 0.00","G","  5.9","000000"
"72635094860","2015-01-16","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  27.8","24","  19.2","24","1018.7","24","988.1","24","  9.2","24","  8.2","24"," 15.0","999.9","  33.1"," ","  14.0"," "," 0.00","G","  5.1","000000"
"72635094860","2015-01-17","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  27.9","24","  19.0","24","1013.2","24","983.1","24","  8.8","24"," 11.4","24"," 17.1"," 22.9","  43.0"," ","  17.1"," "," 0.00","G","  3.9","000000"
"72635094860","2015-01-18","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  35.9","24","  30.7","19","1005.8","18","975.4","24","  7.8","24"," 12.1","24"," 21.0"," 28.9","  39.9","*","  33.8","*"," 0.05","G","  3.1","011000"
"72635094860","2015-01-19","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  32.6","24","  25.5","24","1015.1","23","985.2","24"," 10.0","24","  4.4","24","  7.0","999.9","  37.0"," ","  30.9"," "," 0.03","G","  3.1","000000"
"72635094860","2015-01-20","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  28.3","24","  23.7","24","1015.2","19","984.9","24","  7.8","24","  6.2","24","  9.9","999.9","  34.0"," ","  26.1"," "," 0.02","G","  3.1","001000"
"72635094860","2015-01-21","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  26.7","24","  22.5","24","1018.1","18","987.4","24","  4.6","24","  6.9","24","  9.9","999.9","  30.9"," ","  25.0"," "," 0.05","G","  3.9","111000"
"72635094860","2015-01-22","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  26.6","24","  20.9","24","1027.7","19","996.6","24","  7.4","24","  4.2","24","  8.9","999.9","  30.9"," ","  24.1"," "," 0.05","G","  3.9","001000"
"72635094860","2015-01-23","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  29.4","24","  22.5","24","1023.2","24","993.5","24","  8.3","24"," 11.2","24"," 15.9"," 24.1","  32.0"," ","  24.1"," "," 0.01","G","  3.9","000000"
"72635094860","2015-01-24","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  32.2","24","  27.3","24","1006.3","20","976.8","24","  6.6","24","  9.0","24"," 13.0"," 18.1","  37.9"," ","  26.1"," "," 0.00","G","  3.1","011000"
"72635094860","2015-01-25","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  28.3","24","  22.3","24","1011.4","16","979.6","24","  8.7","24"," 10.3","24"," 19.0"," 24.1","  37.9"," ","  19.0"," "," 0.00","G","  3.1","011000"
"72635094860","2015-01-26","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  15.9","24","   7.7","24","1015.8","22","985.6","24"," 10.0","24","  6.6","24"," 15.0","999.9","  35.1"," ","   8.1"," "," 0.00","G","  3.1","000000"
"72635094860","2015-01-27","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  20.9","24","  10.3","24","1019.4","24","988.8","24"," 10.0","24","  5.8","24","  9.9","999.9","  28.9"," ","   8.1"," "," 0.00","G","  2.0","000000"
"72635094860","2015-01-28","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  19.4","24","   8.6","24","1025.7","24","995.0","24","  9.9","24","  4.3","24"," 11.1","999.9","  30.9"," ","  10.0"," "," 0.00","G","  2.0","000000"
"72635094860","2015-01-29","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  29.6","24","  21.3","24","1013.4","21","982.7","24","  6.9","24","  8.8","24"," 17.1"," 28.9","  32.0","*","  27.0","*"," 0.05","G","  2.0","011000"
"72635094860","2015-01-30","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  23.1","24","  12.3","24","1028.5","23","997.2","24","  9.3","24"," 11.6","24"," 21.0"," 29.9","  33.1"," ","  19.0"," "," 0.03","G","  2.0","001000"
"72635094860","2015-01-31","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  23.4","24","  16.8","24","1025.8","23","995.4","24","  9.5","24","  7.9","24"," 14.0","999.9","  33.1"," ","  17.1"," "," 0.00","G","  2.0","000000"
"72635094860","2015-02-01","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  22.3","24","  17.5","24","1020.2","18","989.6","24","  3.2","24"," 13.0","24"," 24.1"," 34.0","  33.1"," ","  14.0"," "," 0.13","G","  7.9","101000"
"72635094860","2015-02-02","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  11.2","24","   3.1","24","1016.7","22","985.5","24","  6.3","24"," 12.3","24"," 21.0"," 32.1","  30.0"," ","   3.0"," "," 0.36","G","  9.8","001000"
"72635094860","2015-02-03","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  13.5","24","   8.5","24","1021.1","21","990.3","24","  7.1","24","  8.2","24"," 13.0","999.9","  21.9"," ","   3.0"," "," 0.02","G","  9.8","001000"
"72635094860","2015-02-04","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  23.0","24","  18.3","24","1018.1","16","987.3","24","  4.2","24","  8.1","24"," 17.1"," 22.9","  25.0"," ","   5.0"," "," 0.08","G","  9.8","001000"
"72635094860","2015-02-05","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  10.4","24","   3.5","24","1028.2","23","997.2","24","  9.3","24","  7.0","24"," 15.0"," 22.0","  25.0"," ","  -2.0"," "," 0.00","G","  9.8","001000"
"72635094860","2015-02-06","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  20.3","24","  11.4","24","1022.0","24","991.3","24","  9.8","24"," 12.4","24"," 18.1"," 24.1","  28.9"," ","  -2.0"," "," 0.00","G","  9.8","000000"
"72635094860","2015-02-07","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  29.3","24","  21.5","24","1013.7","24","983.7","24","  7.6","24","  5.3","24","  9.9","999.9","  37.9"," ","  12.0"," "," 0.00","G","  7.9","000000"
"72635094860","2015-02-08","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  33.0","24","  28.9","24","1006.3","21","976.3","24","  4.5","24","  8.0","24"," 17.1"," 22.9","  37.9"," ","  24.1"," "," 0.00","G","  5.9","011000"
"72635094860","2015-02-09","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  20.8","24","  14.0","24","1019.7","21","988.8","24","  9.7","24","  9.9","24"," 15.0","999.9","  37.0"," ","  17.1"," "," 0.02","G","  5.9","000000"
"72635094860","2015-02-10","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  16.3","24","   7.9","24","1025.2","24","994.4","24"," 10.0","24","  4.4","24","  9.9","999.9","  27.0"," ","   6.1"," "," 0.00","G","  5.9","000000"
"72635094860","2015-02-11","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  25.9","24","  18.7","24","1017.1","20","986.3","24","  7.6","24","  9.7","24"," 17.1"," 22.9","  33.1","*","  21.9","*"," 0.00","G","  5.9","011000"
"72635094860","2015-02-12","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  17.5","24","   6.6","24","1022.9","22","991.3","24","  8.1","24"," 12.9","24"," 19.0"," 28.0","  33.1"," ","  10.0"," "," 0.01","G","  5.9","001000"
"72635094860","2015-02-13","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  13.7","24","   4.1","24","1026.1","21","994.6","24","  8.8","24","  9.5","24"," 17.1"," 22.9","  23.0"," ","  10.0"," "," 0.00","G","  5.9","001000"
"72635094860","2015-02-14","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  16.3","24","   9.8","24","1012.9","10","981.4","24","  2.0","24"," 16.3","24"," 29.9"," 35.9","  24.8","*","   7.0","*"," 0.06","G","  7.9","001000"
"72635094860","2015-02-15","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   0.8","24"," -13.3","24","1032.4","24","000.9","24"," 10.0","24","  7.1","24"," 15.9"," 22.0","   7.0","*","  -8.0","*"," 0.01","G","  7.1","000000"
"72635094860","2015-02-16","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   2.0","24"," -11.8","24","1028.4","24","996.8","24"," 10.0","24","  5.0","24","  7.0","999.9","  10.9"," ","  -8.0"," "," 0.00","G","  7.1","000000"
"72635094860","2015-02-17","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  11.7","24","   1.9","24","1015.2","16","983.3","24","  6.4","24","  9.2","24"," 20.0"," 25.1","  19.9"," ","  -2.9"," "," 0.00","G","  7.1","001000"
"72635094860","2015-02-18","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  10.9","24","   4.2","24","1011.9","16","979.9","24","  4.7","24","  9.2","24"," 15.9"," 24.1","  19.9"," ","   6.1"," "," 0.11","G","  9.1","101000"
"72635094860","2015-02-19","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   1.8","24","  -9.3","24","1022.7","21","991.4","24","  8.9","24","  8.7","24"," 15.0","999.9","  12.9"," ","  -6.0"," "," 0.02","G","  7.9","001000"
"72635094860","2015-02-20","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  -1.3","24"," -10.2","24","1026.9","24","995.3","24"," 10.0","24","  8.3","24"," 18.1","999.9","  12.0"," "," -13.0"," "," 0.00","G","  7.9","001000"
"72635094860","2015-02-21","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  17.6","24","  10.0","24","1016.2","22","985.5","24","  7.1","24","  7.5","24"," 12.0","999.9","  26.1","*","  12.0","*"," 0.00","G","  7.9","001000"
"72635094860","2015-02-22","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  20.7","24","  13.5","24","1025.2","17","993.5","24","  6.4","24","  8.3","24"," 17.1"," 19.0","  26.1"," ","  10.0"," "," 0.00","G","  7.1","001000"
"72635094860","2015-02-23","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","   2.2","24","  -5.8","24","1037.1","24","005.5","24","  9.7","24","  6.6","24"," 15.9","999.9","  24.1"," ","  -9.9"," "," 0.01","G","  7.1","001000"
"72635094860","2015-02-24","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  10.5","24","   0.9","24","1018.2","20","985.1","24","  7.9","24"," 14.4","24"," 22.9"," 33.0","  24.1"," ","  -9.9"," "," 0.00","G","  7.1","001000"
"72635094860","2015-02-25","42.8825","-85.52389","244.8","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","  17.4","24","   5.9","24","1012.9","23","981.7","24","  9.5","24","  8.6","24"," 17.1"," 27.0","  27.0"," ","   5.0"," "," 0.04","G","  7.9","101000"
